epoch,loss,lr,val_loss
0,-2.9144797325134277,0.001,-4.095715522766113
1,-4.330323696136475,0.001,-4.655085563659668
2,-4.713535785675049,0.001,-5.00829553604126
3,-4.946772575378418,0.001,-5.205726146697998
4,-5.101839542388916,0.001,-5.358987331390381
5,-5.281704902648926,0.001,-5.501415729522705
6,-5.427034854888916,0.001,-5.635106563568115
7,-5.5335540771484375,0.001,-5.716670513153076
8,-5.615461826324463,0.001,-5.827557563781738
9,-5.703442096710205,0.001,-5.905690670013428
10,-5.774120807647705,0.001,-5.941761016845703
11,-5.839058876037598,0.001,-6.021333694458008
12,-5.886636734008789,0.001,-6.015735149383545
13,-5.932859897613525,0.001,-6.1093831062316895
14,-5.9863409996032715,0.001,-6.132209300994873
15,-6.021227836608887,0.001,-6.191961765289307
16,-6.046706199645996,0.001,-6.196007251739502
17,-6.0939621925354,0.001,-6.254953384399414
18,-6.111381530761719,0.001,-6.287475109100342
19,-6.147948265075684,0.001,-6.325606822967529
20,-6.18084716796875,0.001,-6.343310832977295
21,-6.203794479370117,0.001,-6.349984645843506
22,-6.217365264892578,0.001,-6.336404800415039
23,-6.239685535430908,0.001,-6.422131538391113
24,-6.2663373947143555,0.001,-6.4309539794921875
25,-6.285950183868408,0.001,-6.447569370269775
26,-6.2861785888671875,0.001,-6.463604927062988
27,-6.313230991363525,0.001,-6.46035623550415
28,-6.338680267333984,0.001,-6.508498191833496
29,-6.327234268188477,0.001,-6.461737155914307
30,-6.3586273193359375,0.001,-6.464986801147461
31,-6.373610973358154,0.001,-6.535029888153076
32,-6.393187999725342,0.001,-6.546663284301758
33,-6.406673431396484,0.001,-6.564248561859131
34,-6.411935329437256,0.001,-6.570937156677246
35,-6.426291465759277,0.001,-6.571983814239502
36,-6.434344291687012,0.001,-6.589231491088867
37,-6.428062438964844,0.001,-6.595335483551025
38,-6.462991714477539,0.001,-6.623264312744141
39,-6.4455084800720215,0.001,-6.5842461585998535
40,-6.475134372711182,0.001,-6.600882053375244
41,-6.488545894622803,0.001,-6.597228527069092
42,-6.536722183227539,0.0005,-6.679460048675537
43,-6.54585599899292,0.0005,-6.679891586303711
44,-6.552864074707031,0.0005,-6.679500102996826
45,-6.559204578399658,0.0005,-6.694662094116211
46,-6.561431884765625,0.0005,-6.69055700302124
47,-6.5625834465026855,0.0005,-6.702166557312012
48,-6.572300910949707,0.0005,-6.700355529785156
49,-6.575839996337891,0.0005,-6.717017650604248
50,-6.5604634284973145,0.0005,-6.7224907875061035
51,-6.584002494812012,0.0005,-6.712512016296387
52,-6.585197448730469,0.0005,-6.726011753082275
53,-6.590963363647461,0.0005,-6.716283798217773
54,-6.590487480163574,0.0005,-6.708059310913086
55,-6.599708080291748,0.0005,-6.744589328765869
56,-6.6062703132629395,0.0005,-6.720394134521484
57,-6.603124618530273,0.0005,-6.750361442565918
58,-6.6160807609558105,0.0005,-6.750631809234619
59,-6.620689868927002,0.0005,-6.753744125366211
60,-6.624060153961182,0.0005,-6.739764213562012
61,-6.6243672370910645,0.0005,-6.751635551452637
62,-6.6329755783081055,0.0005,-6.7580718994140625
63,-6.62286901473999,0.0005,-6.74751091003418
64,-6.636263847351074,0.0005,-6.768803119659424
65,-6.64631462097168,0.0005,-6.780165672302246
66,-6.642180919647217,0.0005,-6.776469707489014
67,-6.654249668121338,0.0005,-6.786163806915283
68,-6.6481404304504395,0.0005,-6.788569450378418
69,-6.657968044281006,0.0005,-6.796604633331299
70,-6.644837856292725,0.0005,-6.789205074310303
71,-6.668386459350586,0.0005,-6.783370018005371
72,-6.668666362762451,0.0005,-6.802482604980469
73,-6.676538467407227,0.0005,-6.8040971755981445
